seed,scenario,origin,sku,unit,forecast_quantity,realized_regular_quantity,expected_regular_quantity,project_quantity,daily_absolute_error,daily_absolute_error_expectation,input_sha256,error
909,stable,2025-07-01,SKU-001,шт,236.0,227,224.0,0,63.85714285714286,16.02285714285715,124e3261928c499646ec4994df7e7dc904a8569977e8931e1df1ea6ddd4cde8e,
909,stable,2025-07-01,SKU-002,шт,530.5,531,504.0,0,100.89285714285714,35.83714285714288,124e3261928c499646ec4994df7e7dc904a8569977e8931e1df1ea6ddd4cde8e,
909,stable,2025-07-01,SKU-003,шт,1098.5,1113,1120.0,0,176.3928571428571,83.07142857142861,124e3261928c499646ec4994df7e7dc904a8569977e8931e1df1ea6ddd4cde8e,
909,stable,2025-07-01,SKU-004,шт,2538.0,2417,2520.0,0,254.1428571428571,177.42857142857156,124e3261928c499646ec4994df7e7dc904a8569977e8931e1df1ea6ddd4cde8e,
909,stable,2026-04-01,SKU-001,шт,213.5,223,224.0,0,59.75,17.500000000000007,7f94938bc5f62dab4ba9f211563dd88ee3e8b2e4d9a8b3d10f4bf65768c9cc82,
909,stable,2026-04-01,SKU-002,шт,515.0,502,504.0,0,111.57142857142857,34.428571428571445,7f94938bc5f62dab4ba9f211563dd88ee3e8b2e4d9a8b3d10f4bf65768c9cc82,
909,stable,2026-04-01,SKU-003,шт,1106.0,1135,1120.0,0,153.0,82.00000000000003,7f94938bc5f62dab4ba9f211563dd88ee3e8b2e4d9a8b3d10f4bf65768c9cc82,
909,stable,2026-04-01,SKU-004,шт,2512.5,2588,2520.0,0,321.07142857142856,181.07142857142867,7f94938bc5f62dab4ba9f211563dd88ee3e8b2e4d9a8b3d10f4bf65768c9cc82,
909,seasonal_growth,2025-07-01,SKU-001,шт,269.0,310,349.96745659971515,0,98.35714285714286,80.96745659971515,89cfaa03f4ad0a2325aa37be40b9eaf44368f2df010694ce0ccc12e8e27091a7,
909,seasonal_growth,2025-07-01,SKU-002,шт,1040.5,1187,1160.7819016569902,0,184.42857142857144,128.89956527489613,89cfaa03f4ad0a2325aa37be40b9eaf44368f2df010694ce0ccc12e8e27091a7,
909,seasonal_growth,2025-07-01,SKU-003,шт,2342.0,2098,2127.6030419506933,0,286.99999999999994,232.0910582747244,89cfaa03f4ad0a2325aa37be40b9eaf44368f2df010694ce0ccc12e8e27091a7,
909,seasonal_growth,2025-07-01,SKU-004,шт,3112.0,2519,2660.091243284585,0,602.4285714285713,451.90875671541517,89cfaa03f4ad0a2325aa37be40b9eaf44368f2df010694ce0ccc12e8e27091a7,
